name_attr;rating_attr;year_temp;watched_attr;year_attr;action_category;adventure_category;animation_category;children_category;comedy_category;crime_category;documentary_category;drama_category;fantasy_category;film_noir_category;horror_category;musical_category;mystery_category;romance_category;sci_fi_category;thriller_category;war_category;western_category;_no_genres_listed__category;imax_category
Sense and Sensibility  1995 ;3.9685730875308463;1995;20667;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Four Rooms  1995 ;3.3736305977320775;1995;5203;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ace Ventura  When Nature Calls  1995 ;2.6074123603018435;1995;20938;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Money Train  1995 ;2.8807541625857005;1995;4084;1995;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Get Shorty  1995 ;3.581688505556477;1995;24116;1995;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Copycat  1995 ;3.319399677679291;1995;9928;1995;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0
Assassins  1995 ;3.1482352941176472;1995;4250;1995;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Powder  1995 ;3.199849454271735;1995;7971;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Leaving Las Vegas  1995 ;3.689509581032803;1995;21553;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Othello  1995 ;3.628856624319419;1995;2755;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Now and Then  1995 ;3.413520097442144;1995;1642;1995;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Persuasion  1995 ;4.057545973367152;1995;3154;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
City of Lost Children  The  Cit  des enfants perdus  La   1995 ;3.952230046948357;1995;8520;1995;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0
Shanghai Triad  Yao a yao yao dao waipo qiao   1995 ;3.633879781420765;1995;1281;1995;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Dangerous Minds  1995 ;3.250344462109168;1995;9435;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Twelve Monkeys  a k a  12 Monkeys   1995 ;3.8980546909737663;1995;44980;1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
Wings of Courage  1995 ;3.0076923076923077;1995;65;1995;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Babe  1995 ;3.6430940939389242;1995;32255;1995;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Carrington  1995 ;3.5016744809109177;1995;1493;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Dead Man Walking  1995 ;3.9427170935652844;1995;20809;1995;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Across the Sea of Time  1995 ;3.0176470588235293;1995;85;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
It Takes Two  1995 ;2.857789855072464;1995;552;1995;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clueless  1995 ;3.413632208425383;1995;26254;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Cry  the Beloved Country  1995 ;3.646726862302483;1995;886;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Richard III  1995 ;3.8521006611217743;1995;4689;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Dead Presidents  1995 ;3.0551276854479124;1995;2467;1995;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Restoration  1995 ;3.4684561128526648;1995;2552;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Mortal Kombat  1995 ;2.653874918201365;1995;10697;1995;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
To Die For  1995 ;3.3843613567670436;1995;8933;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
How to Make an American Quilt  1995 ;3.2748829953198126;1995;3205;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Seven  a k a  Se7en   1995 ;4.053492566302111;1995;43249;1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Pocahontas  1995 ;2.9461137513414073;1995;13046;1995;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
When Night Is Falling  1995 ;3.5847457627118646;1995;236;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Usual Suspects  The  1995 ;4.334372207803259;1995;47006;1995;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Guardian Angel  1994 ;2.5555555555555554;1994;27;1994;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Mighty Aphrodite  1995 ;3.541148068669528;1995;9320;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Lamerica  1994 ;3.6966666666666668;1994;150;1994;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Big Green  The  1995 ;2.8546025104602513;1995;956;1995;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Georgia  1995 ;3.241214057507987;1995;939;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Kids of the Round Table  1995 ;1.8714285714285714;1995;70;1995;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Home for the Holidays  1995 ;3.324518245182452;1995;2439;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Postman  The  Postino  Il   1994 ;3.978396397956533;1994;11549;1994;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Confessional  The  Confessionnal  Le   1995 ;3.56020942408377;1995;191;1995;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Indian in the Cupboard  The  1995 ;3.114446380484714;1995;6313;1995;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Eye for an Eye  1996 ;3.3231039017974573;1996;2281;1996;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Mr  Holland s Opus  1995 ;3.7318249832309993;1995;19381;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Don t Be a Menace to South Central While Drinking Your Juice in the Hood  1996 ;3.06662382176521;1996;2334;1996;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Two if by Sea  1996 ;2.829817833173538;1996;2086;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bio Dome  1996 ;2.3942228618421053;1996;4864;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lawnmower Man 2  Beyond Cyberspace  1996 ;2.144242935470266;1996;2371;1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Two Bits  1995 ;3.35;1995;170;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
French Twist  Gazon maudit   1995 ;3.4369951534733443;1995;1238;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Friday  1995 ;3.560634328358209;1995;4288;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
From Dusk Till Dawn  1996 ;3.2774543738200124;1996;12712;1996;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Fair Game  1995 ;2.3552123552123554;1995;1295;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kicking and Screaming  1995 ;3.502439024390244;1995;1230;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Mis rables  Les  1995 ;3.8067681895093064;1995;2955;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Bed of Roses  1996 ;3.3022196926579395;1996;3514;1996;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Big Bully  1996 ;2.4623655913978495;1996;558;1996;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Screamers  1995 ;3.0090236686390535;1995;3380;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Nico Icon  1995 ;3.429864253393665;1995;221;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Crossing Guard  The  1995 ;3.180668841761827;1995;1226;1995;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Juror  The  1996 ;3.1285456187895213;1996;5535;1996;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
White Balloon  The  Badkonake sefid   1995 ;3.7243478260869565;1995;575;1995;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Things to Do in Denver When You re Dead  1995 ;3.267373013399813;1995;3209;1995;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Antonia s Line  Antonia   1995 ;4.004925137903862;1995;2538;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Once Upon a Time  When We Were Colored  1995 ;3.653198653198653;1995;594;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Last Summer in the Hamptons  1995 ;3.4177215189873418;1995;158;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Angels and Insects  1995 ;3.531134856300663;1995;2714;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
White Squall  1996 ;3.483402971216342;1996;4308;1996;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Dunston Checks In  1996 ;2.3596311475409837;1996;976;1996;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Black Sheep  1996 ;3.1076274671052633;1996;4864;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nick of Time  1995 ;3.139821373575608;1995;3247;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Journey of August King  The  1995 ;3.357476635514019;1995;214;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Mary Reilly  1996 ;2.8541033434650456;1996;2303;1996;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
Vampire in Brooklyn  1995 ;2.528738555442523;1995;1966;1995;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
Beautiful Girls  1996 ;3.526923076923077;1996;4030;1996;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Broken Arrow  1996 ;3.0946435034382915;1996;22104;1996;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
In the Bleak Midwinter  1995 ;3.6873706004140785;1995;483;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hate  Haine  La   1995 ;3.9964340295466125;1995;1963;1995;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Shopping  1994 ;2.4876543209876543;1994;81;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Heidi Fleiss  Hollywood Madam  1995 ;3.105371900826446;1995;726;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
City Hall  1996 ;3.22138517618469;1996;4115;1996;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Bottle Rocket  1996 ;3.786295951605398;1996;4298;1996;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Mr  Wrong  1996 ;2.4294678714859437;1996;1992;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unforgettable  1996 ;3.2691968225948806;1996;1133;1996;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
Happy Gilmore  1996 ;3.4170806586659226;1996;17915;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bridges of Madison County  The  1995 ;3.326299376299376;1995;9620;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Nobody Loves Me  Keiner liebt mich   1994 ;3.4440298507462686;1994;134;1994;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Muppet Treasure Island  1996 ;3.2153387703889584;1996;6376;1996;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Catwalk  1996 ;3.092;1996;125;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Headless Body in Topless Bar  1995 ;2.0625;1995;16;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Braveheart  1995 ;4.042533802004873;1995;53769;1995;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Taxi Driver  1976 ;4.110575548384461;1976;24481;1976;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Rumble in the Bronx  Hont faan kui   1995 ;3.412573591253154;1995;11890;1995;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Before and After  1996 ;3.1092745638200183;1996;1089;1996;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Margaret s Museum  1995 ;3.619433198380567;1995;247;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Happiness Is in the Field  Bonheur est dans le pr  Le   1995 ;3.4078947368421053;1995;38;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anne Frank Remembered  1995 ;3.9373024236037937;1995;949;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Young Poisoner s Handbook  The  1995 ;3.589398734177215;1995;1264;1995;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
If Lucy Fell  1996 ;3.0110035211267605;1996;1136;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Steal Big  Steal Little  1995 ;2.772727272727273;1995;264;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Race the Sun  1996 ;2.880952380952381;1996;147;1996;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Boys of St  Vincent  The  1992 ;3.7532855436081243;1992;837;1992;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Boomerang  1992 ;2.8676697530864197;1992;3888;1992;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Chungking Express  Chung Hing sam lam   1994 ;3.9692507579038545;1994;2309;1994;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
Star Maker  The  Uomo delle stelle  L   1995 ;3.498432601880878;1995;319;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Flirting With Disaster  1996 ;3.7556850483229107;1996;3518;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NeverEnding Story III  The  1994 ;2.312136627906977;1994;1376;1994;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Silences of the Palace  The  Saimt el Qusur   1994 ;3.2560975609756095;1994;41;1994;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Jupiter s Wife  1994 ;3.5;1994;75;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Pie in the Sky  1996 ;3.163157894736842;1996;190;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Angela  1995 ;3.1153846153846154;1995;39;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Frankie Starlight  1995 ;3.2912371134020617;1995;194;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Jade  1995 ;2.773198304286387;1995;2123;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Nueba Yol  1995 ;2.6052631578947367;1995;19;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sonic Outlaws  1995 ;3.6527777777777777;1995;36;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Down Periscope  1996 ;2.9980174464710547;1996;6305;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
From the Journals of Jean Seberg  1995 ;3.549019607843137;1995;102;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Man of the Year  1995 ;3.2853982300884956;1995;226;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Neon Bible  The  1995 ;3.2846715328467155;1995;137;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Target  1995 ;3.073170731707317;1995;41;1995;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Up Close and Personal  1996 ;3.2938103686181748;1996;5073;1996;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Birdcage  The  1996 ;3.5122161671207994;1996;22020;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Shadows  Cienie   1988 ;3.0609756097560976;1988;41;1988;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Gospa  1995 ;2.142857142857143;1995;14;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brothers McMullen  The  1995 ;3.4771365149833517;1995;4505;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bad Boys  1995 ;3.2507724425887266;1995;11975;1995;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Amazing Panda Adventure  The  1995 ;2.9120689655172414;1995;580;1995;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Basketball Diaries  The  1995 ;3.5829286061194754;1995;4118;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Awfully Big Adventure  An  1995 ;2.8893557422969187;1995;357;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Amateur  1994 ;3.6943171402383133;1994;1091;1994;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Apollo 13  1995 ;3.86859786089541;1995;47777;1995;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Rob Roy  1995 ;3.539037729866836;1995;12616;1995;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
Addiction  The  1995 ;3.1044546850998462;1995;651;1995;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Batman Forever  1995 ;2.894727234003712;1995;32867;1995;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beauty of the Day  Belle de jour   1967 ;3.8019933554817276;1967;3010;1967;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Beyond Rangoon  1995 ;3.4079153605015673;1995;1276;1995;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Blue in the Face  1995 ;3.5279615153337343;1995;1663;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Canadian Bacon  1995 ;2.7846687211093992;1995;2596;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Casper  1995 ;2.932;1995;12625;1995;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clockers  1995 ;3.4169484361792053;1995;2366;1995;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Congo  1995 ;2.6047444036084197;1995;14965;1995;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Crimson Tide  1995 ;3.744201794481124;1995;23628;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
Crumb  1994 ;4.009924937447873;1994;5995;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Desperado  1995 ;3.445394874659591;1995;14321;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Devil in a Blue Dress  1995 ;3.46358511837655;1995;4435;1995;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0
Die Hard  With a Vengeance  1995 ;3.4890247495580438;1995;33940;1995;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Doom Generation  The  1995 ;2.787692307692308;1995;650;1995;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Feast of July  1995 ;3.1645569620253164;1995;79;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
First Knight  1995 ;3.084698775239987;1995;12084;1995;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Free Willy 2  The Adventure Home  1995 ;2.283650982727814;1995;3358;1995;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Hackers  1995 ;3.1975873015873018;1995;7875;1995;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Jeffrey  1995 ;3.6030133146461107;1995;1427;1995;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Johnny Mnemonic  1995 ;2.7326066425310875;1995;12706;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Judge Dredd  1995 ;2.5382845327819648;1995;14993;1995;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Jury Duty  1995 ;2.455979284369115;1995;2124;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kids  1995 ;3.507602582795251;1995;4801;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Living in Oblivion  1995 ;3.854633939906898;1995;2363;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lord of Illusions  1995 ;2.8859118409680207;1995;2314;1995;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Love   Human Remains  1993 ;3.388;1993;500;1993;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Mad Love  1995 ;2.7506102522375917;1995;1229;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Mallrats  1995 ;3.5872619047619048;1995;8400;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Mighty Morphin Power Rangers  The Movie  1995 ;1.9290018832391713;1995;2655;1995;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moonlight and Valentino  1995 ;3.091822094691535;1995;697;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Mute Witness  1994 ;3.3648208469055376;1994;614;1994;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Nadja  1994 ;3.1036585365853657;1994;328;1994;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Net  The  1995 ;3.1104273295962304;1995;24618;1995;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Nine Months  1995 ;2.891730529317412;1995;11222;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Party Girl  1995 ;3.451219512195122;1995;943;1995;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prophecy  The  1995 ;3.342473979183347;1995;2498;1995;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
Reckless  1995 ;3.0014880952380953;1995;336;1995;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Safe  1995 ;3.566145833333333;1995;960;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Scarlet Letter  The  1995 ;2.676081730769231;1995;1664;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Show  The  1995 ;3.0246913580246915;1995;81;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Showgirls  1995 ;2.2340568060021435;1995;7464;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
